"market","name","status","operator","address","google_maps_url","website","description","services_overview","services_specs","power_mw","whitespace_sqm","building_size_sqm","ups_redundancy","cooling_redundancy","standby_power_redundancy","tier_design","iso27001","iso22301","soc2","mantrap_entry","cctv","biometric_access","card_access","fire_suppression","onsite_security_staff","onsite_technical_staff","construction_type","meet_me_room","office_space","ixp_count","network_providers","url"
"Copenhagen","Microsoft Roskilde (CPH01)","Under Construction","Microsoft","Finervej 8, 4621 Roskilde, Denmark","N/A","https://datacenters.microsoft.com","In December 2020 Microsoft announced that they were investing in a new Azure data center region for Denmark. The region would be located around the capital of Copenhagen, and was to be powered 100% by renewable energy.

The Roskilde data center was the first to have ground broken. The construction project was handled by Exyte.","","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/microsoft-roskilde-cph01/"
"Copenhagen","Microsoft Høje Taastrup (CPH02)","Under Construction","Microsoft","Bohus Boulevard 2, 2630 Taastrup, Denmark","N/A","https://datacenters.microsoft.com","In December 2020 Microsoft announced that they were investing in a new Azure data center region for Denmark. The region would be located around the capital of Copenhagen, and was to be powered 100% by renewable energy.

The Høje Taastrup data center was the third project to be started, after Roskilde and Køge. Construction started in October 2022. The construction project was handled by Collen.","","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/microsoft-hoje-taastrup-cph02/"
"Copenhagen","Microsoft Køge (CPH03)","Operational","Microsoft","Egedesvej 17, 4600 Køge, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","","In December 2020 Microsoft announced that they were investing in a new Azure data center region for Denmark. The region would be located around the capital of Copenhagen, and was to be powered 100% by renewable energy.

The Køge data center was the second Microsoft broke ground on. The construction project was handled by Exyte.","","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/copenhagen/microsoft-koge-cph03/"
"Copenhagen","GlobalConnect Albertslund","Operational","GlobalConnect","Herstedvang 4, 2620 Albertslund, Denmark","N/A","https://globalconnect.dk","","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets","","","","","","","","","","","","","","","","","","","","","","","2","https://www.datacentermap.com/denmark/copenhagen/globalconnect-albertslund/"
"Esbjerg","Bulk Data Centers - DK01 Campus","Operational","Bulk Infrastructure","Guldborgsundvej 14, 6705 Esbjerg, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://bulkinfrastructure.com/data-centers/locations/dk01","Located in Esbjerg, on the Western Coast of Denmark, Bulk Data Centers’ DK01 campus offers up to 2,300m² of white space and flexible options in a secure, highly efficient and resilient facility. In addition, Bulk’s Havsil and Havhingsten cable systems – make Esbjerg and our DK01 data center the connectivity gateway to the Nordics from US, Europe. Situated in energy hub of Esbjerg, we provide abundant access to offshore wind power and competitive energy pricing, ensuring a low total cost of owner","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets; Remote Hands","","5 MW","2,300 sq.m.","","2N","","","Tier 3","","","","","Yes","","Yes","","Yes, 24/7","Yes, Biz-hours","Purpose-built","Yes","Yes","1","2","https://www.datacentermap.com/denmark/esbjerg/bulk-dk01/"
"Esbjerg","Prime Esbjerg Campus","Planned","Prime Data Centers","Nordre Tovrupvej, 6705 Esbjerg, Denmark","N/A","","Prime Data Centers, in partnership with Brunswick Real Estate, is developing a significant hyperscale data center campus, named Prime Esbjerg Campus (ESB01), located on Nordre Tovrupvej in Esbjerg, Denmark. The planned campus spans 640,000 sqm (6.88 million sq ft) on land owned by the Esbjerg Municipality.

The project is currently undergoing the Environmental Impact Assessment (EIA) process, with an ambitious target of 550MW of IT capacity. Construction of the initial data center is slated to b","Suites; Cages; Private Cabinets; Partial Cabinets; Remote Hands","","550 MW","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/esbjerg/prime-esbjerg/"
"Esbjerg","ECO-LocaXion Data Center","Planned","ECO-LocaXion Management ApS","Vestkystvej 7, 6715 Esbjerg, Denmark","N/A","","ECO-LocaXion's data center is a pioneering project located in Esbjerg, Denmark, designed to set new standards for sustainability and innovation in the data center industry. Spanning 8,000 square meters with a capacity of 30 MW, this climate-conscious facility integrates colocation data center operations with heat supply, creating a symbiotic relationship that benefits both the environment and the local community.

The data center's innovative approach involves reusing excess heat generated by th","Suites; Cages; Private Cabinets; Partial Cabinets","","30 MW","8,000 sq.m.","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/esbjerg/eco-locaxion-data-center/"
"Esbjerg","Thylander Data Center","Planned","Thylander","Sahara 9, 6700 Esbjerg, Denmark","N/A","","In May 2025, Thylander unveiled plans for a 200 MW hyperscale data center in Esbjerg. The first phase of the project, expected to deliver 10–20 MW of capacity, is projected to become operational in 2026.

While it remains unclear under which brand the data center will operate, it's notable that shortly before the announcement, Thylander established a new company called ""Thylander X."" The stated purpose of this entity is related to providing consulting and services for investments in and related ","Suites","","200 MW","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/esbjerg/thylander/"
"Esbjerg","Skywire Data Center","Operational","Skywire ApS","Rolfsgade 75, 6700 Esbjerg, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://skywire.dk/om-os/","We provide colocation of your server(s) in Tier 1 facility, with diesel generator power backup
24/7/365 access.
10/100/1000/10000 Mbit/s Internet flatrate.
3 different fibernetwork providers with access to darkfiber, color, capacity etc.
Direct connection to major cities in Denmark and AEC-2, North Sea Connect, TAT-14, DANICE, CANTAT-3, or CobraCable subseacables.
Access
Physical rack, or units for rent (1U and up).

We deliver to all types of business, large and small.
Use your own equipment, i","Cages; Private Cabinets; Partial Cabinets; Individual Servers; Remote Hands; Bare Metal Servers","","","","","","","","Tier 1","","","","","","","","","Yes, 24/7","","","","","","","https://www.datacentermap.com/denmark/esbjerg/vestjylland/"
"Esbjerg","Meta Esbjerg Data Center","Land Banked","Meta","Andrupvej 80, 6705 Esbjerg Ø, Denmark","N/A","","The 214 acre (2,143,850 m2) plot in Andrup was initially rumored for data center use in 2018, which was later pinpointed to Facebook (Meta) being behind the project.

In March 2019 Facebook decided to shelve the project and the local municipal purchased the land with the intention of attracting another project. Close proximity to multiple submarine fiber cables and high voltage power transmission lines, made it an appealing location for data center use.

In 2021 Facebook decided to re-engage in ","","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/esbjerg/meta-esbjerg-data-center/"
"Esbjerg","Microsoft Bramming Campus","Planned","Microsoft","Kirkebrovej 1, 6740 Bramming, Denmark","N/A","","Microsoft Bramming Campus is a planned data center development situated west of Bramming, Denmark, at Kirkebrovej 1. The facility is designed to include five data halls. Rezoning processes for the site are anticipated to commence in 2026. This expansion by Microsoft signifies a continued investment in digital infrastructure within the region.","","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/esbjerg/microsoft-bramming-campus/"
"Esbjerg","Microsoft Bramming - Building 3","Planned","Microsoft","Kirkebrovej 1, 6740 Bramming, Denmark","N/A","","Microsoft Bramming Campus is a planned data center development situated west of Bramming, Denmark, at Kirkebrovej 1. The facility is designed to include five data halls. Rezoning processes for the site are anticipated to commence in 2026. This expansion by Microsoft signifies a continued investment in digital infrastructure within the region.","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/esbjerg/microsoft-bramming-building-3/"
"Esbjerg","Microsoft Bramming - Building 4","Planned","Microsoft","Kirkebrovej 1, 6740 Bramming, Denmark","N/A","","Microsoft Bramming Campus is a planned data center development situated west of Bramming, Denmark, at Kirkebrovej 1. The facility is designed to include five data halls. Rezoning processes for the site are anticipated to commence in 2026. This expansion by Microsoft signifies a continued investment in digital infrastructure within the region.","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/esbjerg/microsoft-bramming-building-4/"
"Esbjerg","Microsoft Bramming - Building 2","Planned","Microsoft","Kirkebrovej 1, 6740 Bramming, Denmark","N/A","","Microsoft Bramming Campus is a planned data center development situated west of Bramming, Denmark, at Kirkebrovej 1. The facility is designed to include five data halls. Rezoning processes for the site are anticipated to commence in 2026. This expansion by Microsoft signifies a continued investment in digital infrastructure within the region.","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/esbjerg/microsoft-bramming-building-2/"
"Esbjerg","Microsoft Bramming - Building 1","Planned","Microsoft","Kirkebrovej 1, 6740 Bramming, Denmark","N/A","","Microsoft Bramming Campus is a planned data center development situated west of Bramming, Denmark, at Kirkebrovej 1. The facility is designed to include five data halls. Rezoning processes for the site are anticipated to commence in 2026. This expansion by Microsoft signifies a continued investment in digital infrastructure within the region.","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/esbjerg/microsoft-bramming-building-1/"
"Esbjerg","Microsoft Bramming - Building 5","Planned","Microsoft","Kirkebrovej 1, 6740 Bramming, Denmark","N/A","","Microsoft Bramming Campus is a planned data center development situated west of Bramming, Denmark, at Kirkebrovej 1. The facility is designed to include five data halls. Rezoning processes for the site are anticipated to commence in 2026. This expansion by Microsoft signifies a continued investment in digital infrastructure within the region.","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/esbjerg/microsoft-bramming-building-5/"
"Skanderborg","Kolo DK1 Skanderborg","Operational","Kolo","Niels Bohrs vej 35, 8660 Skanderborg, Denmark","N/A","https://kolodc.com/data-centers/colocation-in-denmark/skanderborg-data-center","Fuzion' Datacenter Skanderborg, The largest and most modern co-location datacenter in Jutland. The datacenter serves together with Fuzion's other datacenter, Hostingcenter Aarhus as dual datacenter solution for companies with mission critical requirements.

Fuzion is a carrier-neutral colocation partner offering all national carriers in our facilities
All Fuzion Data centers are connecter by the major fiber providers in Denmark, ensuring that the data centers have ample supply of fiber infrastru","Suites; Footprints; Private Cabinets; Partial Cabinets; Individual Servers; Remote Hands; Bare Metal Servers; Public Cloud Servers","","","740 sq.m.","","","","","","","","","","","","","","","","Purpose-built","","","","1","https://www.datacentermap.com/denmark/skanderborg/datacenter-skanderborg/"
"Skanderborg","GlobalConnect Stilling","Operational","GlobalConnect","Niels Bohrs Vej 19, 8660 Skanderborg, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://globalconnectgroup.com/#/","","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/skanderborg/globalconnect-stilling/"
"Randers","Kolo DK3 Randers","Operational","Kolo","Normansvej 1, 8920 Randers, Denmark","N/A","https://kolodc.com/data-centers/colocation-in-denmark/randers-data-center","Fuzion is a carrier-neutral colocation partner offering all national carriers in our facilities.

All Fuzion datacenters are connecter by the major fiber providers in Denmark, ensuring that the data centers have ample supply of fiber infrastructure and in addition all internet service providers can provide access to the customers in the datacenters.

All datacenters are certified by the ISA 3204 – type2 certification with reference to ISO 27002 and are under rigid service audits and control. The","Private Cabinets","","","245 sq.m.","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/randers/fuzion-randers/"
"Århus","Kolo DK2 Aarhus","Operational","Kolo","Silkeborgvej 53, 8000 Aarhus C, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://kolodc.com/data-centers/colocation-in-denmark/aarhus-data-center","Established in 2003, Fuzion' Datacenter Aarhus is a modern datacenter, located very centrally on Silkeborgvej in Aarhus C (the second largest city in Denmark). It's close to public transport and close to the freeway as well.

Fuzion is a carrier-neutral colocation partner offering all national carriers in our facilities
All Fuzion Data centers are connecter by the major fiber providers in Denmark, ensuring that the data centers have ample supply of fiber infrastructure and in addition all intern","Suites; Footprints; Private Cabinets; Partial Cabinets; Individual Servers; Remote Hands; Bare Metal Servers; Public Cloud Servers","","","425 sq.m.","","","","","","","","","","","","","","","","","","","","1","https://www.datacentermap.com/denmark/aarhus/hostingcenter-aarhus/"
"Århus","Cibicom Kappa","Operational","Cibicom","Kappa 10, 8382 Hinnerup, Denmark","N/A","https://cibicom.dk","Cibicom offers several Data center facilities across Denmark. Each Datacenter provides unique solution for our customer servers based on uninterruptible power supply and cooling system in an environment with highly secure perimeter. We offer everything from high-density racks, cages and private suites tailored to meet our customer's specific demands. Our Datacenter offers:

- Secure facility
- Redundant power supply to all racks build as N+N
- Redundant cooling solution build as N+1
- Up to 12 k","Suites; Cages; Footprints; Private Cabinets; Partial Cabinets; Individual Servers; Remote Hands; Public Cloud Servers","","6 MW","2,500 sq.m.","3,500 sq.m.","2N","N+1","2N","Tier 3","","","","Yes","Yes","Yes","Yes","Yes","No","No","Purpose-built","Yes","","","","https://www.datacentermap.com/denmark/aarhus/cibicom-cappa/"
"Århus","Cibicom Århus","Operational","Cibicom","Ny Moesgårdvej 61, 8270 Hoejbjerg, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://cibicom.dk","Our data centre has double fibre access and is at the same time connected through Cibicom's nationwide network.

Our data centers have dual fiber access and are also connected through Cibicom's nationwide radio network providing extra security.

Cibicom's data centre offers high-density racks, private suites and your own locked cabinets, and customised racks.

Our TIER III-designed (Uptime Institute) data centre agreements offer you:

Redundant power with UPS, diesel generator and cooling system","Cages; Footprints; Private Cabinets; Partial Cabinets","","1 MW","400 sq.m.","700 sq.m.","2N","N+1","2N","Tier 3","","","","","Yes","","Yes","Yes","Yes, Biz-hours","Yes, Biz-hours","Retrofitted","Yes","","","","https://www.datacentermap.com/denmark/aarhus/cibicom-aarhus/"
"Århus","Kolo DK4 Viby J.","Operational","Kolo","Søndervangs Allé 20, 8620 Viby J, Denmark","N/A","https://kolodc.com/data-centers/colocation-in-denmark/viby-j-data-center","Datacenter located in Viby J, operated by Fuzion.

Fuzion is a carrier-neutral colocation partner offering all national carriers in our facilities
All Fuzion datacenters are connecter by the major fiber providers in Denmark, ensuring that the data centers have ample supply of fiber infrastructure and in addition all internet service providers can provide access to the customers in the datacenters.

All datacenters are certified by the ISA 3204 – type2 certification with reference to ISO 27002 an","Private Cabinets","","","460 sq.m.","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/aarhus/fuzion-viby-j/"
"Århus","GlobalConnect Hørning 2","Operational","GlobalConnect","Agerbakken 3, 8362 Hørning, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://globalconnect.dk","Please visit the website of GlobalConnect A/S for further details about GlobalConnect Hørning 2.","Cages; Private Cabinets; Partial Cabinets","","","","","","","","","","","","","","","","","","","Undefined","","","","","https://www.datacentermap.com/denmark/aarhus/globalconnect-horning-2/"
"Saeby","Prime Denmark Campus","Planned","Prime Data Centers","Energivej 1, 9300 Saeby, Denmark","N/A","https://primedatacenters.com/locations/saeby/","Prime Data Centers' Denmark campus represents a significant advancement in sustainable data center design. Located in a region known for its commitment to sustainability, the campus features three hyperscale data centers, each designed to meet the rigorous DGNB Gold certification for sustainability. The campus boasts 90 megawatts of critical power capacity, all sourced from 100% renewable energy, emphasizing Prime's dedication to carbon neutrality.

The Denmark campus is not only a technological","","","90 MW","13,491 sq.m.","","N+1","N+1","N+1","Tier 3","","","","Yes","Yes","Yes","Yes","Yes","Yes, 24/7","","Purpose-built","Yes","Yes","","","https://www.datacentermap.com/denmark/saeby/prime-denmark-campus/"
"Saeby","Prime Denmark - Building 1","Planned","Prime Data Centers","Energivej 1, Building 1, 9300 Saeby, Denmark","N/A","https://primedatacenters.com/locations/saeby/","Prime Data Centers' Denmark campus represents a significant advancement in sustainable data center design. Located in a region known for its commitment to sustainability, the campus features three hyperscale data centers, each designed to meet the rigorous DGNB Gold certification for sustainability. The campus boasts 90 megawatts of critical power capacity, all sourced from 100% renewable energy, emphasizing Prime's dedication to carbon neutrality.

The Denmark campus is not only a technological","","","30 MW","","","N+1","N+1","N+1","","","","","Yes","Yes","Yes","Yes","","Yes, 24/7","","","","","","","https://www.datacentermap.com/denmark/saeby/prime-denmark-building-1/"
"Saeby","Prime Denmark - Building 2","Planned","Prime Data Centers","Energivej 1, Building 2, 9300 Saeby, Denmark","N/A","https://primedatacenters.com/locations/saeby/","Prime Data Centers' Denmark campus represents a significant advancement in sustainable data center design. Located in a region known for its commitment to sustainability, the campus features three hyperscale data centers, each designed to meet the rigorous DGNB Gold certification for sustainability. The campus boasts 90 megawatts of critical power capacity, all sourced from 100% renewable energy, emphasizing Prime's dedication to carbon neutrality.

The Denmark campus is not only a technological","","","30 MW","","","N+1","N+1","N+1","","","","","Yes","Yes","Yes","Yes","","Yes, 24/7","","","","","","","https://www.datacentermap.com/denmark/saeby/prime-denmark-building-2/"
"Saeby","Prime Denmark - Building 3","Planned","Prime Data Centers","Energivej 1, Building 3, 9300 Saeby, Denmark","N/A","https://primedatacenters.com/locations/saeby/","Prime Data Centers' Denmark campus represents a significant advancement in sustainable data center design. Located in a region known for its commitment to sustainability, the campus features three hyperscale data centers, each designed to meet the rigorous DGNB Gold certification for sustainability. The campus boasts 90 megawatts of critical power capacity, all sourced from 100% renewable energy, emphasizing Prime's dedication to carbon neutrality.

The Denmark campus is not only a technological","","","30 MW","","","N+1","N+1","N+1","","","","","Yes","Yes","Yes","Yes","","Yes, 24/7","","","","","","","https://www.datacentermap.com/denmark/saeby/prime-denmark-building-3/"
"Fredericia","Cibicom Taulov","Operational","Cibicom","Nordensvej 25, 7000 Fredericia, Denmark","N/A","https://cibicom.dk","Cibicom announced the addition of a data center in Taulov, in June 2025.

The data center is located very close to Googles data center in Taulov (Fredericia).","Private Cabinets","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/fredericia/cibicom-taulov/"
"Fredericia","Google Fredericia Data Center","Operational","Google","Prinsessens Kvartér 10, 7000 Fredericia, Denmark","https://www.google.com/maps/@55.6604482,12.3037645,15.89z?entry=ttu&g_ep=EgoyMDI2MDQyNi4wIKXMDSoASAFQAw%3D%3D","https://datacenters.google/intl/da_ALL/locations/fredericia-danmark/","Located in Fredericia, Denmark, Google's data center features industry-leading energy efficiency initiatives and a strong commitment to renewable energy sourcing. The facility offers robust connectivity and ample capacity for future expansion, supporting Google's growing operations within Europe. Fredericia's position as a major logistics hub further enhances the data center's strategic value.","","","","","","","","","","","","","","","","","","Yes, 24/7","","","","","","","https://www.datacentermap.com/denmark/fredericia/google-fredericia/"
"Varde","GlobalConnect Nørre Nebel","Operational","GlobalConnect","Industrivej 16, 6830 Nørre Nebel, Denmark","N/A","https://globalconnect.dk","Please visit the website of GlobalConnect A/S for further details about GlobalConnect Nørre Nebel.","Private Cabinets","","","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/varde/globalconnect-norre-nebel/"
"Varde","atNorth DEN02","Planned","atNorth","Kragerisvej, 6870 Ølgod, Denmark","N/A","https://www.atnorth.com/nordic-data-centers/denmark-data-centers/varde-mega-site/","The DEN02 data center, located in Varde, Denmark, represents a significant advancement in sustainable data center design. This 174-hectare greenfield site is strategically positioned 40 km west of Billund Airport, catering to both colocation and build-to-suit projects. It is specifically tailored for data-intensive businesses, offering a robust infrastructure that supports high-performance computing (HPC) and artificial intelligence (AI) workloads.

In its commitment to sustainability, DEN02 is ","Suites; Cages; Private Cabinets; Partial Cabinets","","250 MW","","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/varde/atnorth-den02/"
"Varde","Microsoft Tinghoej - Building 1","Planned","Microsoft","Ringkøbingvej 169, 6800 Varde, Denmark","N/A","","Microsoft Tinghøj Campus is a significant data center development located north of Tinghøj/Varde, Denmark, at Ringkøbingvej 169. The expansive 150-hectare site is projected to accommodate six data halls.

A key feature of the campus is its potential for sustainable operations, with possibilities for connecting to district heating or other forms of heat reuse. This initiative aligns with growing trends in energy efficiency within the data center industry.

Rezoning for the project is anticipated ","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-tinghoej-building-1/"
"Varde","Microsoft Tinghoej - Building 4","Planned","Microsoft","Ringkøbingvej 169, 6800 Varde, Denmark","N/A","","Microsoft Tinghøj Campus is a significant data center development located north of Tinghøj/Varde, Denmark, at Ringkøbingvej 169. The expansive 150-hectare site is projected to accommodate six data halls.

A key feature of the campus is its potential for sustainable operations, with possibilities for connecting to district heating or other forms of heat reuse. This initiative aligns with growing trends in energy efficiency within the data center industry.

Rezoning for the project is anticipated ","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-tinghoej-building-4/"
"Varde","Microsoft Lunde - Building 4","Planned","Microsoft","Kastkærvej 100, 6830 Nørre Nebel, Denmark","N/A","","Microsoft Lunde Campus is a significant data center development located on a 79-hectare site between Lunde and Nørre Nebel in Denmark. The campus is projected to feature four data halls. A key aspect of the development is its potential for sustainability, with the possibility to connect to district heating or other forms of heat reuse. Rezoning for the project is anticipated to commence in 2026, marking a step towards the establishment of this large-scale digital infrastructure in the Esbjerg ma","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-lunde-building-4/"
"Varde","Microsoft Tinghoej - Building 3","Planned","Microsoft","Ringkøbingvej 169, 6800 Varde, Denmark","N/A","","Microsoft Tinghøj Campus is a significant data center development located north of Tinghøj/Varde, Denmark, at Ringkøbingvej 169. The expansive 150-hectare site is projected to accommodate six data halls.

A key feature of the campus is its potential for sustainable operations, with possibilities for connecting to district heating or other forms of heat reuse. This initiative aligns with growing trends in energy efficiency within the data center industry.

Rezoning for the project is anticipated ","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-tinghoej-building-3/"
"Varde","Microsoft Tinghoej Campus","Planned","Microsoft","Ringkøbingvej 169, 6800 Varde, Denmark","N/A","","Microsoft Tinghøj Campus is a significant data center development located north of Tinghøj/Varde, Denmark, at Ringkøbingvej 169. The expansive 150-hectare site is projected to accommodate six data halls.

A key feature of the campus is its potential for sustainable operations, with possibilities for connecting to district heating or other forms of heat reuse. This initiative aligns with growing trends in energy efficiency within the data center industry.

Rezoning for the project is anticipated ","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-tinghoej-campus/"
"Varde","Microsoft Lunde - Building 1","Planned","Microsoft","Kastkærvej 100, 6830 Nørre Nebel, Denmark","N/A","","Microsoft Lunde Campus is a significant data center development located on a 79-hectare site between Lunde and Nørre Nebel in Denmark. The campus is projected to feature four data halls. A key aspect of the development is its potential for sustainability, with the possibility to connect to district heating or other forms of heat reuse. Rezoning for the project is anticipated to commence in 2026, marking a step towards the establishment of this large-scale digital infrastructure in the Esbjerg ma","","","","","","","","","","","","","","","","","","","","Retrofitted","","","","","https://www.datacentermap.com/denmark/varde/microsoft-lunde-building-1/"
"Varde","Microsoft Lunde Campus","Planned","Microsoft","Kastkærvej 100, 6830 Nørre Nebel, Denmark","N/A","","Microsoft Lunde Campus is a significant data center development located on a 79-hectare site between Lunde and Nørre Nebel in Denmark. The campus is projected to feature four data halls. A key aspect of the development is its potential for sustainability, with the possibility to connect to district heating or other forms of heat reuse. Rezoning for the project is anticipated to commence in 2026, marking a step towards the establishment of this large-scale digital infrastructure in the Esbjerg ma","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-lunde-campus/"
"Varde","Microsoft Lunde - Building 2","Planned","Microsoft","Kastkærvej 100, 6830 Nørre Nebel, Denmark","N/A","","Microsoft Lunde Campus is a significant data center development located on a 79-hectare site between Lunde and Nørre Nebel in Denmark. The campus is projected to feature four data halls. A key aspect of the development is its potential for sustainability, with the possibility to connect to district heating or other forms of heat reuse. Rezoning for the project is anticipated to commence in 2026, marking a step towards the establishment of this large-scale digital infrastructure in the Esbjerg ma","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-lunde-building-2/"
"Varde","Microsoft Lunde - Building 3","Planned","Microsoft","Kastkærvej 100, 6830 Nørre Nebel, Denmark","N/A","","Microsoft Lunde Campus is a significant data center development located on a 79-hectare site between Lunde and Nørre Nebel in Denmark. The campus is projected to feature four data halls. A key aspect of the development is its potential for sustainability, with the possibility to connect to district heating or other forms of heat reuse. Rezoning for the project is anticipated to commence in 2026, marking a step towards the establishment of this large-scale digital infrastructure in the Esbjerg ma","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-lunde-building-3/"
"Varde","Microsoft Tinghoej - Building 6","Planned","Microsoft","Ringkøbingvej 169, 6800 Varde, Denmark","N/A","","Microsoft Tinghøj Campus is a significant data center development located north of Tinghøj/Varde, Denmark, at Ringkøbingvej 169. The expansive 150-hectare site is projected to accommodate six data halls.

A key feature of the campus is its potential for sustainable operations, with possibilities for connecting to district heating or other forms of heat reuse. This initiative aligns with growing trends in energy efficiency within the data center industry.

Rezoning for the project is anticipated ","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-tinghoej-building-6/"
"Varde","Microsoft Tinghoej - Building 5","Planned","Microsoft","Ringkøbingvej 169, 6800 Varde, Denmark","N/A","","Microsoft Tinghøj Campus is a significant data center development located north of Tinghøj/Varde, Denmark, at Ringkøbingvej 169. The expansive 150-hectare site is projected to accommodate six data halls.

A key feature of the campus is its potential for sustainable operations, with possibilities for connecting to district heating or other forms of heat reuse. This initiative aligns with growing trends in energy efficiency within the data center industry.

Rezoning for the project is anticipated ","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-tinghoej-building-5/"
"Varde","Microsoft Tinghoej - Building 2","Planned","Microsoft","Ringkøbingvej 169, 6800 Varde, Denmark","N/A","","Microsoft Tinghøj Campus is a significant data center development located north of Tinghøj/Varde, Denmark, at Ringkøbingvej 169. The expansive 150-hectare site is projected to accommodate six data halls.

A key feature of the campus is its potential for sustainable operations, with possibilities for connecting to district heating or other forms of heat reuse. This initiative aligns with growing trends in energy efficiency within the data center industry.

Rezoning for the project is anticipated ","","","","","","","","","","","","","","","","","","","","Purpose-built","","","","","https://www.datacentermap.com/denmark/varde/microsoft-tinghoej-building-2/"
"Aalborg","Netic DC5","Operational","Netic A/S","Port of Aalborg, Ankeret, 9220 Aalborg, Denmark","N/A","https://www.netic.dk/en/hosting-eng/","Netic DC5 is a purpose-built Tier 3 data center located at the Port of Aalborg, Denmark, designed to host critical infrastructure workloads for Danish enterprises and public organizations. Commissioned in April 2022, the facility spans 1,000 square meters and supports eight server rooms with a scalable power capacity of up to 1 MW. It features multiple independent paths for power and cooling, ensuring high availability and fault tolerance, even during maintenance or component failure.

The data ","Private Cabinets; Partial Cabinets; Individual Servers; Public Cloud Servers","","1 MW","1000 sq.m.","","","","","","","","","","","","","","","","","","","","","https://www.datacentermap.com/denmark/aalborg/netic-dc5/"
